spike_threshold_pct,bb_std_multiplier,sl_pct,tp_pct,position_size_pct,max_hold_hours,sharpe,return_pct,max_dd_pct,win_rate,num_trades,profit_factor,avg_win_pct,avg_loss_pct
1.0,3.0,0.006,0.02,0.015,24,2.2831,0.1888,0.09,36.59,41,1.8066,1.8785,-0.6
1.0,3.0,0.006,0.02,0.02,24,2.2831,0.2517,0.1199,36.59,41,1.8067,1.8785,-0.6
1.0,3.0,0.006,0.02,0.01,24,2.2831,0.1258,0.06,36.59,41,1.8064,1.8785,-0.6
1.0,3.0,0.006,0.02,0.005,24,2.2831,0.0629,0.03,36.59,41,1.8063,1.8785,-0.6
0.5,3.0,0.006,0.015,0.02,12,2.2659,0.2393,0.115,42.86,63,1.5661,1.2256,-0.587
0.5,3.0,0.006,0.015,0.015,12,2.2659,0.1795,0.0863,42.86,63,1.566,1.2256,-0.587
0.5,3.0,0.006,0.015,0.005,12,2.2659,0.0598,0.0288,42.86,63,1.5659,1.2256,-0.587
0.5,3.0,0.006,0.015,0.01,12,2.2659,0.1196,0.0575,42.86,63,1.5659,1.2256,-0.587
0.5,3.0,0.005,0.02,0.01,24,2.2182,0.1372,0.06,30.16,63,1.6235,1.8798,-0.5
0.5,3.0,0.005,0.02,0.005,24,2.2182,0.0686,0.03,30.16,63,1.6235,1.8798,-0.5
0.5,3.0,0.005,0.02,0.015,24,2.2182,0.2059,0.09,30.16,63,1.6235,1.8798,-0.5
0.5,3.0,0.005,0.02,0.02,24,2.2182,0.2746,0.1199,30.16,63,1.6235,1.8798,-0.5
1.0,3.0,0.005,0.015,0.02,36,2.1931,0.1901,0.07,36.59,41,1.731,1.5,-0.5
1.0,3.0,0.005,0.015,0.01,36,2.1931,0.095,0.035,36.59,41,1.7309,1.5,-0.5
1.0,3.0,0.005,0.015,0.005,24,2.1931,0.0475,0.0175,36.59,41,1.7308,1.5,-0.5
1.0,3.0,0.005,0.015,0.015,24,2.1931,0.1426,0.0525,36.59,41,1.7309,1.5,-0.5
1.0,3.0,0.005,0.015,0.015,48,2.1931,0.1426,0.0525,36.59,41,1.7309,1.5,-0.5
1.0,3.0,0.005,0.015,0.02,24,2.1931,0.1901,0.07,36.59,41,1.731,1.5,-0.5
1.0,3.0,0.005,0.015,0.015,36,2.1931,0.1426,0.0525,36.59,41,1.7309,1.5,-0.5
1.0,3.0,0.005,0.015,0.005,48,2.1931,0.0475,0.0175,36.59,41,1.7308,1.5,-0.5
1.0,3.0,0.005,0.015,0.01,24,2.1931,0.095,0.035,36.59,41,1.7309,1.5,-0.5
1.0,3.0,0.005,0.015,0.005,36,2.1931,0.0475,0.0175,36.59,41,1.7308,1.5,-0.5
1.0,3.0,0.005,0.015,0.02,48,2.1931,0.1901,0.07,36.59,41,1.731,1.5,-0.5
1.0,3.0,0.005,0.015,0.01,48,2.1931,0.095,0.035,36.59,41,1.7309,1.5,-0.5
1.0,3.0,0.006,0.015,0.005,36,2.1816,0.0499,0.021,41.46,41,1.6925,1.4336,-0.6
1.0,3.0,0.006,0.015,0.01,36,2.1816,0.0997,0.042,41.46,41,1.6926,1.4336,-0.6
1.0,3.0,0.006,0.015,0.02,36,2.1816,0.1995,0.084,41.46,41,1.6927,1.4336,-0.6
1.0,3.0,0.006,0.015,0.015,36,2.1816,0.1496,0.063,41.46,41,1.6926,1.4336,-0.6
